Tank,ImageID,Stick,Species,Position,FragID,Genotype,Reef,Region,UniqueCoralID,Temp,T0,T1,T2,T3,T4,T5
AC2,_1111866,3,A. hyacinthus,2,NA,NA,NA,NA,AC2_3_2,Ambient,NA,NA,NA,NA,NA,NA
AC2,_1111866,3,A. hyacinthus,3,AhyaMartin11,Martin11,Martin,North,AC2_3_3,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,4,AhyaMart3,Martin3,Martin,North,AC2_3_4,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,5,NA,NA,NA,NA,AC2_3_5,Ambient,NA,NA,NA,NA,NA,NA
AC2,_1111866,3,A. hyacinthus,6,AhyaDavies12,Davies12,Davies,Central,AC2_3_6,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,7,AhyaDavies18,Davies18,Davies,Central,AC2_3_7,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,8,AhyaMartin13,Martin13,Martin,North,AC2_3_8,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,9,AhyaWood7A,Wood7A,Wood,North,AC2_3_9,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,10,AhyaPalms6,Palms6,Palms,Central,AC2_3_10,Ambient,1,1,1,1,1,1
AC2,_1111866,3,A. hyacinthus,11,AhyaPalms3,Palms3,Palms,Central,AC2_3_11,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,1,AhyaWood17,Wood17,Wood,North,AC2_5_1,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,2,AhyaArlington8,Arlington8,Arlington,Central,AC2_5_2,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,3,AhyaArlington11,Arlington11,Arlington,Central,AC2_5_3,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,4,AhyaMartin12,Martin12,Martin,North,AC2_5_4,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,5,AhyaPalms16,Palms16,Palms,Central,AC2_5_5,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,6,AhyaArlington10,Arlington10,Arlington,Central,AC2_5_6,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,7,AhyaDavies9,Davies9,Davies,Central,AC2_5_7,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,8,AhyaPalms10,Palms10,Palms,Central,AC2_5_8,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,9,AhyaPalms5,Palms5,Palms,Central,AC2_5_9,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,10,AhyaWood5A,Wood5A,Wood,North,AC2_5_10,Ambient,1,1,1,1,1,1
AC2,_1111869,5,A. hyacinthus,11,AhyaPalms4,Palms4,Palms,Central,AC2_5_11,Ambient,1,1,1,1,1,1
AC3,_1111872,1,A. hyacinthus,1,AhyaWood17,Wood17,Wood,North,AC3_1_1,Ambient,1,1,1,1,1,1
AC3,_1111872,1,A. hyacinthus,2,AhyaMartin13,Martin13,Martin,North,AC3_1_2,Ambient,1,1,1,1,1,1
AC3,_1111872,1,A. hyacinthus,3,AhyaArlington8,Arlington8,Arlington,Central,AC3_1_3,Ambient,1,1,1,1,1,1
AC3,_1111872,1,A. hyacinthus,4,NA,NA,NA,NA,AC3_1_4,Ambient,NA,NA,NA,NA,NA,NA
AC3,_1111872,1,A. hyacinthus,5,AhyaWood16,Wood16,Wood,North,AC3_1_5,Ambient,1,1,1,1,1,1
AC3,_1111872,1,A. hyacinthus,6,AhyaArlington1,Arlington1,Arlington,Central,AC3_1_6,Ambient,1,1,1,1,1,1
AC3,_1111872,1,A. hyacinthus,7,AhyaPalms5,Palms5,Palms,Central,AC3_1_7,Ambient,1,1,1,1,1,1
AC3,_1111872,1,A. hyacinthus,8,AhyaMartin11,Martin11,Martin,North,AC3_1_8,Ambient,1,1,1,1,1,1
AC3,_1111872,1,A. hyacinthus,9,NA,NA,NA,NA,AC3_1_9,Ambient,NA,NA,NA,NA,NA,NA
AC3,_1111872,1,A. hyacinthus,10,AhyaPalms16,Palms16,Palms,Central,AC3_1_10,Ambient,1,1,1,1,1,1
AC3,_1111872,1,A. hyacinthus,11,AhyaArlington10,Arlington10,Arlington,Central,AC3_1_11,Ambient,1,1,1,1,1,1
AC3,_1111875,3,A. hyacinthus,1,AhyaDavies12,Davies12,Davies,Central,AC3_3_1,Ambient,1,1,1,1,1,1
AC3,_1111875,3,A. hyacinthus,2,AhyaWood5A,Wood5A,Wood,North,AC3_3_2,Ambient,1,1,1,1,1,1
AC3,_1111875,3,A. hyacinthus,3,NA,NA,NA,NA,AC3_3_3,Ambient,NA,NA,NA,NA,NA,NA
AC3,_1111875,3,A. hyacinthus,4,AhyaMartin17,Martin17,Martin,North,AC3_3_4,Ambient,1,1,1,1,1,1
AC3,_1111875,3,A. hyacinthus,5,AhyaWood7A,Wood7A,Wood,North,AC3_3_5,Ambient,1,1,1,1,1,1
AC3,_1111875,3,A. hyacinthus,6,AhyaPalms3,Palms3,Palms,Central,AC3_3_6,Ambient,1,1,1,1,1,1
AC3,_1111875,3,A. hyacinthus,7,AhyaPalms4,Palms4,Palms,Central,AC3_3_7,Ambient,1,1,1,1,1,1
AC3,_1111875,3,A. hyacinthus,8,AhyaMartin12,Martin12,Martin,North,AC3_3_8,Ambient,1,1,1,1,1,1
AC3,_1111875,3,A. hyacinthus,9,AhyaDavies18,Davies18,Davies,Central,AC3_3_9,Ambient,1,1,1,1,1,1
AC3,_1111875,3,A. hyacinthus,10,NA,NA,NA,NA,AC3_3_10,Ambient,NA,NA,NA,NA,NA,NA
AC3,_1111875,3,A. hyacinthus,11,AhyaDavies15,Davies15,Davies,Central,AC3_3_11,Ambient,1,1,1,1,1,1
AC3,_1111878,5,A. hyacinthus,1,AhyaMartin3,Martin3,Martin,North,AC3_5_1,Ambient,1,1,1,1,1,1
AC3,_1111878,5,A. hyacinthus,2,AhyaArlington6,Arlington6,Arlington,Central,AC3_5_2,Ambient,1,1,1,1,1,1
AC3,_1111878,5,A. hyacinthus,3,AhyaArlington9,Arlington9,Arlington,Central,AC3_5_3,Ambient,1,1,1,1,1,1
AC3,_1111878,5,A. hyacinthus,4,AhyaDavies16,Davies16,Davies,Central,AC3_5_4,Ambient,1,1,1,1,1,1
AC3,_1111878,5,A. hyacinthus,5,AhyaWood8,Wood8,Wood,North,AC3_5_5,Ambient,1,1,1,1,1,1
AC3,_1111878,5,A. hyacinthus,6,AhyaDavies9,Davies9,Davies,Central,AC3_5_6,Ambient,1,1,1,1,1,1
AC3,_1111878,5,A. hyacinthus,7,AhyaPalms10,Palms10,Palms,Central,AC3_5_7,Ambient,1,1,1,1,1,1
AC3,_1111878,5,A. hyacinthus,8,NA,NA,NA,NA,AC3_5_8,Ambient,NA,NA,NA,NA,NA,NA
AC3,_1111878,5,A. hyacinthus,9,AhyaArlington11,Arlington11,Arlington,Central,AC3_5_9,Ambient,1,1,1,1,1,1
AC3,_1111878,5,A. hyacinthus,10,AhyaDavies14,Davies14,Davies,Central,AC3_5_10,Ambient,1,1,1,1,1,1
AC3,_1111878,5,A. hyacinthus,11,AhyaPalms6,Palms6,Palms,Central,AC3_5_11,Ambient,1,1,1,1,1,1
AC4,_1111881,1,A. hyacinthus,1,AhyaWood7A,Wood7A,Wood,North,AC4_1_1,Ambient,1,1,1,1,1,1
AC4,_1111881,1,A. hyacinthus,2,AhyaArlington11,Arlington11,Arlington,Central,AC4_1_2,Ambient,1,1,1,1,1,1
AC4,_1111881,1,A. hyacinthus,3,AhyaDavies12,Davies12,Davies,Central,AC4_1_3,Ambient,1,1,1,1,1,1
AC4,_1111881,1,A. hyacinthus,4,NA,NA,NA,NA,AC4_1_4,Ambient,NA,NA,NA,NA,NA,NA
AC4,_1111881,1,A. hyacinthus,5,AhyaPalms3,Palms3,Palms,Central,AC4_1_5,Ambient,1,1,1,1,1,1
AC4,_1111881,1,A. hyacinthus,6,AhyaWood17,Wood17,Wood,North,AC4_1_6,Ambient,1,1,1,1,1,1
AC4,_1111881,1,A. hyacinthus,7,AhyaPalms6,Palms6,Palms,Central,AC4_1_7,Ambient,1,1,1,1,1,1
AC4,_1111881,1,A. hyacinthus,8,AhyaArlington1,Arlington1,Arlington,Central,AC4_1_8,Ambient,1,1,1,1,1,1
AC4,_1111881,1,A. hyacinthus,9,AhyaWood8,Wood8,Wood,North,AC4_1_9,Ambient,1,1,1,1,1,1
AC4,_1111881,1,A. hyacinthus,10,AhyaPalms5,Palms5,Palms,Central,AC4_1_10,Ambient,1,1,1,1,1,1
AC4,_1111881,1,A. hyacinthus,11,AhyaPalms16,Palms16,Palms,Central,AC4_1_11,Ambient,1,1,1,1,1,1
AC4,_1111884,3,A. hyacinthus,1,AhyaMartin3,Martin3,Martin,North,AC4_3_1,Ambient,1,1,1,1,1,1
AC4,_1111884,3,A. hyacinthus,2,NA,NA,NA,NA,AC4_3_2,Ambient,NA,NA,NA,NA,NA,NA
AC4,_1111884,3,A. hyacinthus,3,AhyaDavies18,Davies18,Davies,Central,AC4_3_3,Ambient,1,1,1,1,1,1
AC4,_1111884,3,A. hyacinthus,4,AhyaDavies14,Davies14,Davies,Central,AC4_3_4,Ambient,1,1,1,1,1,1
AC4,_1111884,3,A. hyacinthus,5,AhyaWood16,Wood16,Wood,North,AC4_3_5,Ambient,1,1,1,1,1,1
AC4,_1111884,3,A. hyacinthus,6,AhyaArlington9,Arlington9,Arlington,Central,AC4_3_6,Ambient,1,1,1,1,1,1
AC4,_1111884,3,A. hyacinthus,7,AhyaWood5A,Wood5A,Wood,North,AC4_3_7,Ambient,1,1,1,1,1,1
AC4,_1111884,3,A. hyacinthus,8,AhyaPalms10,Palms10,Palms,Central,AC4_3_8,Ambient,1,1,1,1,1,1
AC4,_1111884,3,A. hyacinthus,9,AhyaArlington6,Arlington6,Arlington,Central,AC4_3_9,Ambient,1,1,1,1,1,1
AC4,_1111884,3,A. hyacinthus,10,AhyaArlington10,Arlington10,Arlington,Central,AC4_3_10,Ambient,1,1,1,1,1,1
AC4,_1111884,3,A. hyacinthus,11,NA,NA,NA,NA,AC4_3_11,Ambient,NA,NA,NA,NA,NA,NA
AC4,_1111887,5,A. hyacinthus,1,AhyaMartin13,Martin13,Martin,North,AC4_5_1,Ambient,1,1,1,1,1,1
AC4,_1111887,5,A. hyacinthus,2,NA,NA,NA,NA,AC4_5_2,Ambient,NA,NA,NA,NA,NA,NA
AC4,_1111887,5,A. hyacinthus,3,AhyaArlington8,Arlington8,Arlington,Central,AC4_5_3,Ambient,1,1,1,1,1,1
AC4,_1111887,5,A. hyacinthus,4,AhyaDavies9,Davies9,Davies,Central,AC4_5_4,Ambient,1,1,1,1,1,1
AC4,_1111887,5,A. hyacinthus,5,NA,NA,NA,NA,AC4_5_5,Ambient,NA,NA,NA,NA,NA,NA
AC4,_1111887,5,A. hyacinthus,6,AhyaPalms4,Palms4,Palms,Central,AC4_5_6,Ambient,1,1,1,1,1,1
AC4,_1111887,5,A. hyacinthus,7,AhyaDavies15,Davies15,Davies,Central,AC4_5_7,Ambient,1,1,1,1,1,1
AC4,_1111887,5,A. hyacinthus,8,AhyaMartin12,Martin12,Martin,North,AC4_5_8,Ambient,1,1,1,1,1,1
AC4,_1111887,5,A. hyacinthus,9,AhyaDavies16,Davies16,Davies,Central,AC4_5_9,Ambient,1,1,1,1,1,1
AC4,_1111887,5,A. hyacinthus,10,AhyaMartin17,Martin17,Martin,North,AC4_5_10,Ambient,1,1,1,1,1,1
AC4,_1111887,5,A. hyacinthus,11,AhyaMartin11,Martin11,Martin,North,AC4_5_11,Ambient,1,1,1,1,1,1
AC5,_1111899,1,A. hyacinthus,1,AhyaPalms16,Palms16,Palms,Central,AC5_1_1,Ambient,1,1,1,1,1,1
AC5,_1111899,1,A. hyacinthus,2,NA,NA,NA,NA,AC5_1_2,Ambient,NA,NA,NA,NA,NA,NA
AC5,_1111899,1,A. hyacinthus,3,AhyaDavies15,Davies15,Davies,Central,AC5_1_3,Ambient,1,1,1,1,1,1
AC5,_1111899,1,A. hyacinthus,4,AhyaArlington10,Arlington10,Arlington,Central,AC5_1_4,Ambient,1,1,1,1,1,1
AC5,_1111899,1,A. hyacinthus,5,AhyaMartin3,Martin3,Martin,North,AC5_1_5,Ambient,1,1,1,1,1,1
AC5,_1111899,1,A. hyacinthus,6,AhyaWood17,Wood17,Wood,North,AC5_1_6,Ambient,1,1,1,1,1,1
AC5,_1111899,1,A. hyacinthus,7,AhyaPalms6,Palms6,Palms,Central,AC5_1_7,Ambient,1,1,1,1,1,1
AC5,_1111899,1,A. hyacinthus,8,AhyaPalms5,Palms5,Palms,Central,AC5_1_8,Ambient,1,1,1,1,1,1
AC5,_1111899,1,A. hyacinthus,9,NA,NA,NA,NA,AC5_1_9,Ambient,NA,NA,NA,NA,NA,NA
AC5,_1111899,1,A. hyacinthus,10,AhyaDavies18,Davies18,Davies,Central,AC5_1_10,Ambient,1,1,1,1,1,1
AC5,_1111899,1,A. hyacinthus,11,AhyaDavies12,Davies12,Davies,Central,AC5_1_11,Ambient,1,1,1,1,1,1
AC5,_1111902,3,A. hyacinthus,1,AhyaPalms3,Palms3,Palms,Central,AC5_3_1,Ambient,1,1,1,1,1,1
AC5,_1111902,3,A. hyacinthus,2,AhyaMartin11,Martin11,Martin,North,AC5_3_2,Ambient,1,1,1,1,1,1
AC5,_1111902,3,A. hyacinthus,3,AhyaArlington1,Arlington1,Arlington,Central,AC5_3_3,Ambient,1,1,1,1,1,1
AC5,_1111902,3,A. hyacinthus,4,NA,NA,NA,NA,AC5_3_4,Ambient,NA,NA,NA,NA,NA,NA
AC5,_1111902,3,A. hyacinthus,5,AhyaArlington6,Arlington6,Arlington,Central,AC5_3_5,Ambient,1,1,1,1,1,1
AC5,_1111902,3,A. hyacinthus,6,AhyaDavies9,Davies9,Davies,Central,AC5_3_6,Ambient,1,1,1,1,1,1
AC5,_1111902,3,A. hyacinthus,7,NA,NA,NA,NA,AC5_3_7,Ambient,NA,NA,NA,NA,NA,NA
AC5,_1111902,3,A. hyacinthus,8,AhyaWood5A,Wood5A,Wood,North,AC5_3_8,Ambient,1,1,1,1,1,1
AC5,_1111902,3,A. hyacinthus,9,AhyaMartin13,Martin13,Martin,North,AC5_3_9,Ambient,1,1,1,1,1,1
AC5,_1111902,3,A. hyacinthus,10,AhyaPalms10,Palms10,Palms,Central,AC5_3_10,Ambient,1,1,1,1,1,1
AC5,_1111902,3,A. hyacinthus,11,AhyaWood8,Wood8,Wood,North,AC5_3_11,Ambient,1,1,1,1,1,1
AC5,_1111905,5,A. hyacinthus,1,NA,NA,NA,NA,AC5_5_1,Ambient,NA,NA,NA,NA,NA,NA
AC5,_1111905,5,A. hyacinthus,2,AhyaArlington8,Arlington8,Arlington,Central,AC5_5_2,Ambient,1,1,1,1,1,1
AC5,_1111905,5,A. hyacinthus,3,AhyaWood16,Wood16,Wood,North,AC5_5_3,Ambient,1,1,1,1,1,1
AC5,_1111905,5,A. hyacinthus,4,AhyaMartin17,Martin17,Martin,North,AC5_5_4,Ambient,1,1,1,1,1,1
AC5,_1111905,5,A. hyacinthus,5,AhyaArlington9,Arlington9,Arlington,Central,AC5_5_5,Ambient,1,1,1,1,1,1
AC5,_1111905,5,A. hyacinthus,6,AhyaArlington11,Arlington11,Arlington,Central,AC5_5_6,Ambient,1,1,1,1,1,1
AC5,_1111905,5,A. hyacinthus,7,AhyaDavies16,Davies16,Davies,Central,AC5_5_7,Ambient,1,1,1,1,1,1
AC5,_1111905,5,A. hyacinthus,8,AhyaMartin12,Martin12,Martin,North,AC5_5_8,Ambient,1,1,1,1,1,1
AC5,_1111905,5,A. hyacinthus,9,AhyaPalms4,Palms4,Palms,Central,AC5_5_9,Ambient,1,1,1,1,1,1
AC5,_1111905,5,A. hyacinthus,10,AhyaWood7A,Wood7A,Wood,North,AC5_5_10,Ambient,1,1,1,1,1,1
AC5,_1111905,5,A. hyacinthus,11,AhyaDavies14,Davies14,Davies,Central,AC5_5_11,Ambient,1,1,1,1,1,1
AC6,_1111908,1,A. hyacinthus,1,AhyaPalms6,Palms6,Palms,Central,AC6_1_1,Ambient,1,1,1,1,1,1
AC6,_1111908,1,A. hyacinthus,2,AhyaWood5A,Wood5A,Wood,North,AC6_1_2,Ambient,1,1,1,1,1,1
AC6,_1111908,1,A. hyacinthus,3,AhyaPalms4,Palms4,Palms,Central,AC6_1_3,Ambient,1,1,1,1,1,1
AC6,_1111908,1,A. hyacinthus,4,AhyaWood8,Wood8,Wood,North,AC6_1_4,Ambient,1,1,1,1,1,1
AC6,_1111908,1,A. hyacinthus,5,AhyaMartin12,Martin12,Martin,North,AC6_1_5,Ambient,1,1,1,1,1,1
AC6,_1111908,1,A. hyacinthus,6,AhyaWood7A,Wood7A,Wood,North,AC6_1_6,Ambient,1,1,1,1,1,1
AC6,_1111908,1,A. hyacinthus,7,NA,NA,NA,NA,AC6_1_7,Ambient,NA,NA,NA,NA,NA,NA
AC6,_1111908,1,A. hyacinthus,8,AhyaWood17,Wood17,Wood,North,AC6_1_8,Ambient,1,1,1,1,1,1
AC6,_1111908,1,A. hyacinthus,9,AhyaMartin13,Martin13,Martin,North,AC6_1_9,Ambient,1,1,1,1,1,1
AC6,_1111908,1,A. hyacinthus,10,AhyaArlington6,Arlington6,Arlington,Central,AC6_1_10,Ambient,1,1,1,1,1,1
AC6,_1111908,1,A. hyacinthus,11,AhyaArlington8,Arlington8,Arlington,Central,AC6_1_11,Ambient,1,1,1,1,1,1
AC6,_1111911,3,A. hyacinthus,1,NA,NA,NA,NA,AC6_3_1,Ambient,NA,NA,NA,NA,NA,NA
AC6,_1111911,3,A. hyacinthus,2,AhyaArlington1,Arlington1,Arlington,Central,AC6_3_2,Ambient,1,1,1,1,1,1
AC6,_1111911,3,A. hyacinthus,3,AhyaArlington11,Arlington11,Arlington,Central,AC6_3_3,Ambient,1,1,1,1,1,1
AC6,_1111911,3,A. hyacinthus,4,AhyaPalms5,Palms5,Palms,Central,AC6_3_4,Ambient,1,1,1,1,1,1
AC6,_1111911,3,A. hyacinthus,5,NA,NA,NA,NA,AC6_3_5,Ambient,NA,NA,NA,NA,NA,NA
AC6,_1111911,3,A. hyacinthus,6,AhyaDavies9,Davies9,Davies,Central,AC6_3_6,Ambient,1,1,1,1,1,1
AC6,_1111911,3,A. hyacinthus,7,AhyaMartin11,Martin11,Martin,North,AC6_3_7,Ambient,1,1,1,1,1,1
AC6,_1111911,3,A. hyacinthus,8,AhyaDavies14,Davies14,Davies,Central,AC6_3_8,Ambient,1,1,1,1,1,1
AC6,_1111911,3,A. hyacinthus,9,AhyaArlington9,Arlington9,Arlington,Central,AC6_3_9,Ambient,1,1,1,1,1,1
AC6,_1111911,3,A. hyacinthus,10,AhyaPalms3,Palms3,Palms,Central,AC6_3_10,Ambient,1,1,1,1,1,1
AC6,_1111911,3,A. hyacinthus,11,AhyaDavies16,Davies16,Davies,Central,AC6_3_11,Ambient,1,1,1,1,1,1
AC6,_1111914,5,A. hyacinthus,1,AhyaMartin17,Martin17,Martin,North,AC6_5_1,Ambient,1,1,1,1,1,1
AC6,_1111914,5,A. hyacinthus,2,AhyaPalms10,Palms10,Palms,Central,AC6_5_2,Ambient,1,1,1,1,1,1
AC6,_1111914,5,A. hyacinthus,3,NA,NA,NA,NA,AC6_5_3,Ambient,NA,NA,NA,NA,NA,NA
AC6,_1111914,5,A. hyacinthus,4,AhyaDavies12,Davies12,Davies,Central,AC6_5_4,Ambient,1,1,1,1,1,1
AC6,_1111914,5,A. hyacinthus,5,AhyaArlington10,Arlington10,Arlington,Central,AC6_5_5,Ambient,1,1,1,1,1,1
AC6,_1111914,5,A. hyacinthus,6,AhyaDavies18,Davies18,Davies,Central,AC6_5_6,Ambient,1,1,1,1,1,1
AC6,_1111914,5,A. hyacinthus,7,AhyaWood16,Wood16,Wood,North,AC6_5_7,Ambient,1,1,1,1,1,1
AC6,_1111914,5,A. hyacinthus,8,AhyaDavies15,Davies15,Davies,Central,AC6_5_8,Ambient,1,1,1,1,1,1
AC6,_1111914,5,A. hyacinthus,9,NA,NA,NA,NA,AC6_5_9,Ambient,NA,NA,NA,NA,NA,NA
AC6,_1111914,5,A. hyacinthus,10,AhyaPalms16,Palms16,Palms,Central,AC6_5_10,Ambient,1,1,1,1,1,1
AC6,_1111914,5,A. hyacinthus,11,AhyaMartin3,Martin3,Martin,North,AC6_5_11,Ambient,1,1,1,1,1,1
AR1,_1111818,1,A. hyacinthus,1,AhyaPalms4,Palms4,Palms,Central,AR1_1_1,Hot,1,1,1,1,1,1
AR1,_1111818,1,A. hyacinthus,2,AhyaDavies16,Davies16,Davies,Central,AR1_1_2,Hot,1,1,1,1,1,1
AR1,_1111818,1,A. hyacinthus,3,AhyaPalms16,Palms16,Palms,Central,AR1_1_3,Hot,1,1,1,1,1,1
AR1,_1111818,1,A. hyacinthus,4,AhyaArlington11,Arlington11,Arlington,Central,AR1_1_4,Hot,1,1,1,1,1,1
AR1,_1111818,1,A. hyacinthus,5,AhyaPalms6,Palms6,Palms,Central,AR1_1_5,Hot,1,0,0,0,0,0
AR1,_1111818,1,A. hyacinthus,6,AhyaMartin12,Martin12,Martin,North,AR1_1_6,Hot,1,1,1,1,1,1
